74개 기초자치단체 / 인구 10만 명당 진단 수 / 201101~202006 월단위,,,,,,,,
,,,,,,,,
,,,,,,,,
연월,시군구코드,시도,시군구,"폐암
(C34)","만성폐쇄성폐질환
(J44)","하기도감염
(J20-22)","허혈성심질환
(I20-22)","뇌졸중
(I60-64)"
201102,27230,대구광역시,북구,82.3,213.4,14028.1,500,704.6
201102,27260,대구광역시,수성구,83.9,259.4,10495.1,569.5,738.9
201102,27290,대구광역시,달서구,82.1,246,13294.9,461.1,744.2
201102,27710,대구광역시,달성군,78.2,336.6,14905.9,448.6,731.4
201102,28110,인천광역시,중구,121.8,323.8,14250.8,454.2,722.4
201102,28140,인천광역시,동구,80.1,681.1,14317.8,427,631.6
201102,28170,인천광역시,남구,77.3,233.5,12850.8,468.9,592.1
201102,28185,인천광역시,연수구,79.9,175.1,8999.9,422.7,551.9
201102,28200,인천광역시,남동구,76.3,191.3,13148.1,516.9,542.9
201102,28237,인천광역시,부평구,78.1,187.4,13172.4,430.4,538.4
201102,28245,인천광역시,계양구,70.9,201.3,10808.3,358.4,528.3
201102,28260,인천광역시,서구,67.6,135.1,14360.3,355.2,508.6
201102,28710,인천광역시,강화군,112.3,339.9,7659.6,558.6,470.2
201102,28720,인천광역시,옹진군,159.1,354.1,8924.8,564.5,646.7
201102,29110,광주광역시,동구,101.4,460.1,7468.9,901.5,509.9
201102,29140,광주광역시,서구,77.4,229.3,10878.3,599.5,446.6
201102,29155,광주광역시,남구,74.4,300.4,9361.3,716.3,510.9
201102,29170,광주광역시,북구,81.4,302.6,11853.3,743.3,475.2
201102,29200,광주광역시,광산구,77.2,290.5,13260.9,486.5,523.8
201102,30110,대전광역시,동구,85.6,227.2,14865.2,518.1,586.2
201102,30140,대전광역시,중구,90.4,209.4,12919.3,556.7,579.7
201102,30170,대전광역시,서구,86,180.9,13493.6,450.4,569.8
201102,30200,대전광역시,유성구,87.6,214.7,15387.6,501.1,529.6
201102,30230,대전광역시,대덕구,91.6,178.7,17946.4,425.2,535.2
201102,31110,울산광역시,중구,92.4,222.2,9970.6,532.6,668
201102,31140,울산광역시,남구,86.8,199.1,10639.2,517.6,669.3
201102,31170,울산광역시,동구,91.2,259.6,12462.5,413.5,665
201102,31200,울산광역시,북구,101.4,280.5,15480.2,475.6,683.8
201102,31710,울산광역시,울주군,72.3,201.3,12186.3,544.8,629.3
201103,11110,서울특별시,종로구,116.4,224.5,13172.4,647.9,804.1
201103,11140,서울특별시,중구,87.8,215.5,12433.8,681.7,788.3
201103,11170,서울특별시,용산구,121.3,180.1,14103.8,636.9,643.8
201103,11200,서울특별시,성동구,93.1,244.4,14555.8,680.4,624.5
201103,11215,서울특별시,광진구,114,170.7,16919,580.2,594.7
201103,11230,서울특별시,동대문구,96.6,258.8,15339.8,743.1,713.8
201103,11260,서울특별시,중랑구,102,186.9,15225.9,532,613.4
201103,11290,서울특별시,성북구,109,204.1,18138.3,677.3,680.4
201103,11305,서울특별시,강북구,84.9,259.1,14567.6,633.8,740.8
201103,11320,서울특별시,도봉구,109.1,195.3,15679.5,588.4,653.2
201103,11350,서울특별시,노원구,108.8,216.7,17026.3,560.3,702.2
201103,11380,서울특별시,은평구,117.5,187.2,18156.2,593.6,666.1
201103,11410,서울특별시,서대문구,118.2,227.1,13167.8,697.5,766.7
201103,11440,서울특별시,마포구,111.4,206.9,17693.3,643.4,690.6
201103,11470,서울특별시,양천구,101.6,211.5,12573.5,633.5,671.9
201103,11500,서울특별시,강서구,118.3,165.9,17026.7,574.8,636.5
201103,11530,서울특별시,구로구,93.3,251.5,18417.1,618.1,649.9
201103,11545,서울특별시,금천구,96.1,189,17414.3,548.4,702.4
201103,11560,서울특별시,영등포구,137.1,269.5,16715.9,749,786.3
201103,11590,서울특별시,동작구,152.5,195.8,14391.1,611.6,687.6
201103,11620,서울특별시,관악구,111.1,215.2,14828.2,510.1,608.5
201103,11650,서울특별시,서초구,135.4,180.6,12432.5,789.5,729.5
201103,11680,서울특별시,강남구,109.1,240.9,11712.9,612.3,610
201103,11710,서울특별시,송파구,117.3,201.3,13901.2,525.4,586.8
