sido_code,sigungu_code,sido,yyyymm,pm10,sigungu,precipitation,male_avg_age,female_avg_age,year,month,ISO,disease_type,value
11,11560,서울,201102,80.0,영등포구,29.1,38.2,39.8,2011,2,KR-11,폐암,102.7
11,11590,서울,201102,74.0,동작구,29.1,37.7,39.6,2011,2,KR-11,폐암,122.6
11,11620,서울,201102,82.0,관악구,29.1,37.4,39.1,2011,2,KR-11,폐암,92.9
11,11650,서울,201102,80.0,서초구,29.1,36.8,38.2,2011,2,KR-11,폐암,111.9
11,11680,서울,201102,82.0,강남구,29.1,36.4,38.1,2011,2,KR-11,폐암,102.9
11,11710,서울,201102,76.0,송파구,29.1,36.4,37.9,2011,2,KR-11,폐암,102.9
11,11740,서울,201102,70.0,강동구,29.1,36.7,38.7,2011,2,KR-11,폐암,106.2
26,26110,부산,201102,57.0,중구,70.9,42.4,45.3,2011,2,KR-26,폐암,98.6
26,26140,부산,201102,66.5,서구,70.9,41.4,44.7,2011,2,KR-26,폐암,95.4
26,26170,부산,201102,61.5,동구,70.9,41.8,45.3,2011,2,KR-26,폐암,120.5
26,26200,부산,201102,57.0,영도구,70.9,41.1,44.2,2011,2,KR-26,폐암,110.3
26,26230,부산,201102,64.0,부산진구,70.9,39.1,41.5,2011,2,KR-26,폐암,85.6
26,26260,부산,201102,58.0,동래구,70.9,38.4,40.8,2011,2,KR-26,폐암,82.8
26,26290,부산,201102,55.0,남구,70.9,38.7,41.1,2011,2,KR-26,폐암,81.3
26,26320,부산,201102,63.0,북구,70.9,37.0,39.3,2011,2,KR-26,폐암,66.2
26,26350,부산,201102,41.0,해운대구,70.9,37.2,39.5,2011,2,KR-26,폐암,83.2
26,26380,부산,201102,75.0,사하구,70.9,37.6,39.7,2011,2,KR-26,폐암,79.9
26,26410,부산,201102,61.0,금정구,70.9,39.0,41.6,2011,2,KR-26,폐암,69.9
26,26440,부산,201102,65.5,강서구,70.9,40.5,43.2,2011,2,KR-26,폐암,60.2
26,26470,부산,201102,54.0,연제구,70.9,38.8,41.1,2011,2,KR-26,폐암,90.0
